Type,Trans Date,Post Date,Description,Amount
SALE,03/14/2016,03/15/2016,"JCP STARBUCKS",-4.60
SALE,04/01/2016,04/01/2016,"ANNAPURNA",-13.00
SALE,03/13/2016,03/14/2016,"ADY*Netflix",-9.73
SALE,04/28/2016,04/29/2016,"PIZZA HUT 27706",-10.83
SALE,03/13/2016,03/14/2016,"AMAZON MKTPLACE PMTS",-62.01
SALE,05/12/2016,05/15/2016,"EXXONMOBIL    48164016",-33.68
SALE,02/09/2016,02/10/2016,"FRONTIER UTILITIES",-47.63
SALE,03/10/2016,03/11/2016,"AAA TX INSURANCE - R",-115.32
SALE,05/13/2016,05/15/2016,"DUNKIN #345827     Q35",-8.99
SALE,02/18/2016,02/21/2016,"TAJ CHAAT HOUSE PLANO",-15.70
SALE,02/10/2016,02/11/2016,"JCP STARBUCKS",-5.09
SALE,02/28/2016,03/01/2016,"SPICE BAZAAR",-10.30
SALE,05/06/2016,05/09/2016,"LOVING HUT",-12.39
SALE,03/29/2016,03/30/2016,"HYDERABAD HOUSE PLANO",-37.00
SALE,04/13/2016,04/13/2016,"ANNAPURNA",-13.00
SALE,03/14/2016,03/16/2016,"TAJ CHAAT HOUSE PLANO",-8.12
SALE,02/12/2016,02/15/2016,"SPICE BAZAAR",-24.07
ADJUSTMENT,11/25/2015,03/18/2016,"IIAA LIMITED",-45.09
SALE,04/25/2016,04/27/2016,"7-ELEVEN 32242",-32.53
SALE,05/07/2016,05/08/2016,"HYDERABAD HOUSE PLANO",-26.00
SALE,05/25/2016,05/26/2016,"TENTKOTTA.COM",-8.65
SALE,03/17/2016,03/18/2016,"SARAVANAA BHAVAN PLANO",-14.00
SALE,05/04/2016,05/06/2016,"ARAMARK@JPMCDALLSINTPK",-6.80
SALE,05/22/2016,05/23/2016,"INDIA BAZAAR FRISCO",-17.14
SALE,03/15/2016,03/17/2016,"SPICE BAZAAR",-5.62
RETURN,04/02/2016,04/04/2016,"SUNGLASS HUT 4763",259.80
SALE,05/21/2016,05/23/2016,"7-ELEVEN 33119",-22.54
SALE,02/10/2016,02/11/2016,"SARAVANAA BHAVAN PLANO",-13.00
SALE,05/07/2016,05/08/2016,"METRO GUARD TERMITE &",-59.47
SALE,03/08/2016,03/09/2016,"WAYFAIR*Wayfair",-92.00
SALE,03/11/2016,03/14/2016,"SPICE BAZAAR",-4.32
SALE,03/01/2016,03/02/2016,"SARAVANAA BHAVAN PLANO",-25.00
SALE,04/25/2016,04/26/2016,"ULTRAMOBILE/UNIVISION",-32.39
