Type,Trans Date,Post Date,Description,Amount
Sale,03/18/2016,03/20/2016,"BEN AND JERRYS SOUTH",-2.25
Sale,03/18/2016,03/20/2016,"TOTAL WINE AND MORE 506",-97.40
Sale,03/17/2016,03/18/2016,"ULTRAMOBILE/UNIVISION",-32.39
Sale,03/17/2016,03/18/2016,"SARAVANAA BHAVAN PLANO",-14.00
Sale,03/17/2016,03/18/2016,"SQ *SPICERACK",-43.96
Sale,03/16/2016,03/18/2016,"MCDONALD'S M7190 OF TX",-3.45
Sale,03/16/2016,03/17/2016,"SARAVANAA BHAVAN PLANO",-19.00
Sale,03/16/2016,03/17/2016,"MALGUDI GARDEN",-26.00
Sale,03/16/2016,03/17/2016,"NTTA AUTOCHARGE",-40.00
Sale,03/15/2016,03/15/2016,"BASERA INDIAN CUISINE",-13.00
Sale,03/15/2016,03/17/2016,"SPICE BAZAAR",-5.62
Sale,03/15/2016,03/17/2016,"TAJ CHAAT HOUSE PLANO",-5.43
Sale,03/14/2016,03/15/2016,"JCP STARBUCKS",-4.60
Sale,03/14/2016,03/16/2016,"TAJ CHAAT HOUSE PLANO",-8.12
Sale,03/13/2016,03/14/2016,"ADY*Netflix",-9.73
Sale,03/13/2016,03/14/2016,"AMAZON MKTPLACE PMTS",-62.01
Sale,03/13/2016,03/14/2016,"BAWARCHI BIRYANI POINT",-24.34
Sale,03/12/2016,03/14/2016,"PIZZA HUT 27706",-14.00
Sale,03/11/2016,03/14/2016,"SPICE BAZAAR",-4.32
Sale,03/11/2016,03/13/2016,"JCP STARBUCKS",-4.60
Sale,03/10/2016,03/11/2016,"AAA TX INSURANCE - R",-115.32
Sale,03/10/2016,03/13/2016,"SPICE BAZAAR",-4.32
Sale,03/10/2016,03/11/2016,"FRONTIER UTILITIES",-51.60
Sale,03/09/2016,03/10/2016,"4977 GREAT CLIPS AT SIGNA",-20.00
Sale,03/09/2016,03/10/2016,"JCP STARBUCKS",-4.60
Sale,03/09/2016,03/10/2016,"PHO QUE HUONG",-9.00
Sale,03/08/2016,03/09/2016,"WAYFAIR*Wayfair",-92.00
Sale,03/08/2016,03/09/2016,"VICEROY INDIAN RESTAURANT",-26.00
Payment,03/08/2016,03/08/2016,"Payment Thank You-Mobile",3120.00
Sale,03/08/2016,03/09/2016,"BAWARCHI BIRYANI POINT",-24.34
Sale,03/07/2016,03/08/2016,"JCP STARBUCKS",-4.60
Sale,03/06/2016,03/07/2016,"HAUTLK RACK8885478438",-303.00
Sale,03/05/2016,03/06/2016,"BAWARCHI BIRYANI POINT",-26.34
Sale,03/05/2016,03/06/2016,"MCDONALD'S F33140",-7.56
Sale,03/04/2016,03/07/2016,"THAI BOX - ADDISON",-10.00
Sale,03/03/2016,03/06/2016,"APPLE STORE  #R302",-1830.51
Sale,03/03/2016,03/04/2016,"FRONTPOINT SECURITY",-42.99
Sale,03/02/2016,03/04/2016,"IHOP 1942     00019422",-14.24
Sale,03/01/2016,03/03/2016,"MCDONALD'S M7190 OF TX",-3.78
Sale,03/01/2016,03/02/2016,"SARAVANAA BHAVAN PLANO",-25.00
Sale,03/01/2016,03/02/2016,"WPY*Master JaiKarthick",-100.00
Sale,03/01/2016,03/02/2016,"WPY*YouCaring",-3.00
Sale,03/01/2016,03/02/2016,"HANUMAN TEMPLE",-11.00
Sale,02/29/2016,03/01/2016,"MCDONALD'S M7190 OF TX",-3.45
Sale,02/29/2016,03/02/2016,"MARKET@WORK 2067379149",-3.01
Sale,02/28/2016,03/01/2016,"SPICE BAZAAR",-10.30
Sale,02/28/2016,03/01/2016,"SPICE BAZAAR",-6.76
Sale,02/28/2016,02/29/2016,"NTTA AUTOCHARGE",-40.00
Sale,02/27/2016,03/01/2016,"SPICE BAZAAR",-13.51
Return,02/27/2016,02/28/2016,"JCPENNEY 2795",80.00
Sale,02/26/2016,02/28/2016,"MCDONALD'S F33140",-2.48
Sale,02/26/2016,02/26/2016,"KUMAR MESS",-11.20
Sale,02/25/2016,02/26/2016,"JCP STARBUCKS",-4.60
Sale,02/24/2016,02/26/2016,"7-ELEVEN 33117",-17.54
Sale,02/23/2016,02/24/2016,"SARAVANAA BHAVAN PLANO",-13.00
Sale,02/23/2016,02/24/2016,"JCP STARBUCKS",-4.60
Sale,02/22/2016,02/23/2016,"JCP STARBUCKS",-4.60
Sale,02/22/2016,02/23/2016,"SUBWAY JCPENNE10058667",-5.41
Sale,02/20/2016,02/22/2016,"SWADESHI PLAZA PLANO",-28.23
Sale,02/19/2016,02/21/2016,"BAWARCHI BIRYANI POINT",-24.34
Sale,02/19/2016,02/21/2016,"HYDERABAD HOUSE PLANO",-14.00
Sale,02/18/2016,02/21/2016,"TAJ CHAAT HOUSE PLANO",-15.70
Sale,02/18/2016,02/19/2016,"JCP STARBUCKS",-9.42
Sale,02/17/2016,02/19/2016,"THAI NOODLE WAVE",-24.00
Sale,02/17/2016,02/19/2016,"TAJ CHAAT HOUSE PLANO",-10.86
Sale,02/16/2016,02/17/2016,"HYDERABAD HOUSE PLANO",-6.99
Sale,02/16/2016,02/17/2016,"ULTRAMOBILE/UNIVISION",-32.39
Sale,02/16/2016,02/18/2016,"MCDONALD'S M7190 OF TX",-2.48
Sale,02/15/2016,02/16/2016,"SARAVANAA BHAVAN PLANO",-28.96
Sale,02/15/2016,02/16/2016,"JCP STARBUCKS",-4.60
Sale,02/14/2016,02/15/2016,"SARAVANAA BHAVAN PLANO",-25.15
Sale,02/14/2016,02/15/2016,"NTTA AUTOCHARGE",-40.00
Sale,02/14/2016,02/15/2016,"H2O WIRELESS",-10.00
Sale,02/13/2016,02/15/2016,"ROSS STORES #1222",-18.39
Sale,02/13/2016,02/14/2016,"PIZZA HUT 27706",-10.83
Sale,02/13/2016,02/14/2016,"NETFLIX.COM",-9.73
Sale,02/12/2016,02/15/2016,"SPICE BAZAAR",-24.07
Sale,02/11/2016,02/12/2016,"CHIPOTLE 1734",-7.04
Sale,02/11/2016,02/12/2016,"SARAVANAA BHAVAN PLANO",-24.00
Sale,02/11/2016,02/12/2016,"JCP STARBUCKS",-4.60
Payment,02/11/2016,02/11/2016,"Payment Thank You-Mobile",2065.71
Sale,02/10/2016,02/11/2016,"JCP STARBUCKS",-5.09
Sale,02/10/2016,02/11/2016,"SARAVANAA BHAVAN PLANO",-13.00
Sale,02/09/2016,02/10/2016,"WALGREENS #12292",-49.78
Sale,02/09/2016,02/10/2016,"FRONTIER UTILITIES",-47.63
Sale,02/09/2016,02/10/2016,"SARAVANAA BHAVAN PLANO",-25.00
Sale,02/09/2016,02/10/2016,"BAWARCHI SIGNATURE",-11.54
Sale,02/08/2016,02/10/2016,"AAA TX INSURANCE",-117.32
Adjustment,11/25/2015,03/18/2016,"IIAA LIMITED",-45.09
Adjustment,11/25/2015,03/18/2016,"IIAA LIMITED",-75.20
